algoritme,score,housecount,water,iteratie,score,,
Random,23301240,60,"[[245, 308, 333, 182], [160, 158, 227, 137], [18, 122, 203, 65]]",192,23301240,,
Random,23301975,60,"[[69, 279, 325, 189]]",193,23301975,,
Random,23303130,60,"[[51, 320, 147, 80]]",194,23303130,,
Random,23303310,60,"[[88, 180, 132, 58], [195, 242, 289, 54]]",195,23303310,,
Random,23303535,60,"[[20, 104, 260, 8]]",196,23303535,,
Random,23304915,60,"[[121, 298, 323, 214], [51, 212, 117, 120]]",197,23304915,,
Random,23304975,60,"[[203, 155, 281, 83], [295, 128, 319, 60], [128, 263, 226, 204], [126, 154, 196, 11]]",198,23304975,,
Random,23305110,60,"[[126, 115, 148, 63], [146, 282, 307, 146]]",199,23305110,,
Random,23306115,60,"[[32, 128, 230, 18], [47, 226, 89, 196]]",200,23306115,,
Random,23306715,60,"[[95, 240, 151, 160], [179, 202, 322, 78], [97, 292, 133, 269]]",201,23306715,,
Random,23309010,60,"[[43, 277, 203, 133]]",202,23309010,,
Random,23309460,60,"[[18, 297, 98, 9]]",203,23309460,,
Random,23309685,60,"[[23, 225, 35, 193], [229, 207, 347, 15]]",204,23309685,,
Random,23310090,60,"[[65, 144, 257, 24]]",205,23310090,,
Random,23310540,60,"[[13, 258, 103, 2]]",206,23310540,,
Random,23310735,60,"[[40, 156, 232, 36]]",207,23310735,,
Random,23311215,60,"[[40, 301, 220, 173]]",208,23311215,,
Random,23312310,60,"[[116, 121, 233, 81], [215, 305, 317, 125]]",209,23312310,,
Random,23313000,60,"[[41, 257, 329, 177]]",210,23313000,,
Random,23313210,60,"[[228, 197, 333, 165], [143, 135, 307, 15]]",211,23313210,,
Random,23313270,60,"[[179, 289, 323, 129]]",212,23313270,,
Random,23313375,60,"[[80, 299, 170, 43]]",213,23313375,,
Random,23313975,60,"[[6, 250, 150, 90]]",214,23313975,,
Random,23313975,60,"[[211, 214, 328, 102], [23, 240, 207, 186]]",215,23313975,,
Random,23314275,60,"[[187, 254, 340, 195], [8, 195, 104, 124], [299, 107, 341, 9], [127, 316, 206, 277]]",216,23314275,,
Random,23314365,60,"[[183, 293, 246, 271], [269, 246, 322, 48], [109, 263, 209, 193], [87, 68, 191, 28]]",217,23314365,,
Random,23314530,60,"[[185, 268, 329, 108]]",218,23314530,,
Random,23314545,60,"[[12, 255, 192, 127]]",219,23314545,,
Random,23315955,60,"[[76, 278, 204, 98]]",220,23315955,,
Random,23316060,60,"[[176, 205, 336, 61]]",221,23316060,,
Random,23316750,60,"[[46, 299, 226, 171]]",222,23316750,,
Random,23317260,60,"[[39, 319, 131, 247], [249, 247, 325, 31]]",223,23317260,,
Random,23318295,60,"[[80, 221, 204, 161], [274, 274, 339, 34]]",224,23318295,,
Random,23319180,60,"[[332, 162, 356, 78], [215, 85, 286, 13], [227, 276, 331, 123]]",225,23319180,,
Random,23319720,60,"[[0, 298, 240, 202]]",226,23319720,,
Random,23319720,60,"[[6, 286, 34, 234], [98, 187, 250, 45]]",227,23319720,,
Random,23319840,60,"[[137, 301, 227, 45]]",228,23319840,,
Random,23320140,60,"[[153, 235, 333, 107]]",229,23320140,,
Random,23320380,60,"[[232, 189, 357, 27], [127, 266, 158, 176]]",230,23320380,,
Random,23320380,60,"[[289, 178, 352, 66], [112, 295, 260, 187]]",231,23320380,,
Random,23320470,60,"[[17, 297, 305, 217]]",232,23320470,,
Random,23320500,60,"[[99, 195, 259, 51]]",233,23320500,,
Random,23321040,60,"[[94, 308, 350, 218]]",234,23321040,,
Random,23321895,60,"[[131, 252, 227, 12]]",235,23321895,,
Random,23322225,60,"[[130, 206, 290, 62]]",236,23322225,,
Random,23322570,60,"[[59, 195, 192, 144], [85, 301, 228, 237], [275, 283, 324, 138]]",237,23322570,,
Random,23322810,60,"[[24, 246, 152, 66]]",238,23322810,,
Random,23323260,60,"[[199, 258, 264, 78], [42, 76, 231, 16]]",239,23323260,,
Random,23323380,60,"[[15, 98, 188, 18], [215, 304, 330, 224]]",240,23323380,,
Random,23323755,60,"[[20, 91, 40, 76], [76, 200, 207, 156], [216, 290, 320, 139], [26, 240, 50, 187]]",241,23323755,,
Random,23325225,60,"[[155, 103, 320, 55], [65, 233, 140, 56], [253, 184, 294, 139]]",242,23325225,,
Random,23325750,60,"[[140, 279, 284, 119]]",243,23325750,,
Random,23325765,60,"[[19, 249, 319, 173], [21, 275, 31, 251]]",244,23325765,,
Random,23326020,60,"[[0, 239, 192, 119]]",245,23326020,,
Random,23326110,60,"[[30, 185, 210, 57]]",246,23326110,,
Random,23326290,60,"[[35, 299, 195, 155]]",247,23326290,,
Random,23327235,60,"[[258, 187, 330, 145], [12, 310, 83, 134], [142, 126, 236, 46]]",248,23327235,,
Random,23327265,60,"[[7, 241, 167, 97]]",249,23327265,,
Random,23327280,60,"[[155, 309, 177, 282], [211, 75, 248, 61], [257, 205, 331, 164], [57, 269, 151, 68]]",250,23327280,,
Random,23327535,60,"[[148, 123, 342, 23], [138, 279, 190, 209]]",251,23327535,,
Random,23328780,60,"[[264, 131, 360, 6], [138, 171, 230, 51]]",252,23328780,,
Random,23329560,60,"[[188, 235, 316, 55]]",253,23329560,,
Random,23329665,60,"[[165, 259, 285, 67]]",254,23329665,,
Random,23329740,60,"[[132, 294, 228, 54]]",255,23329740,,
Random,23329995,60,"[[156, 290, 296, 132], [325, 303, 348, 263]]",256,23329995,,
Random,23331120,60,"[[82, 221, 262, 167], [8, 254, 68, 32]]",257,23331120,,
Random,23331675,60,"[[152, 141, 344, 21]]",258,23331675,,
Random,23332185,60,"[[174, 285, 334, 141]]",259,23332185,,
Random,23332230,60,"[[166, 200, 294, 20]]",260,23332230,,
Random,23332815,60,"[[247, 320, 337, 64]]",261,23332815,,
Random,23333115,60,"[[10, 147, 170, 3]]",262,23333115,,
Random,23333145,60,"[[21, 314, 181, 170]]",263,23333145,,
Random,23333310,60,"[[106, 227, 298, 107]]",264,23333310,,
Random,23333445,60,"[[72, 149, 328, 59]]",265,23333445,,
Random,23333745,60,"[[88, 304, 280, 184]]",266,23333745,,
Random,23333970,60,"[[166, 170, 351, 113], [121, 102, 268, 17]]",267,23333970,,
Random,23334405,60,"[[69, 267, 197, 87]]",268,23334405,,
Random,23334525,60,"[[267, 272, 333, 168], [0, 98, 78, 13], [180, 127, 291, 41]]",269,23334525,,
Random,23335845,60,"[[9, 252, 57, 201], [163, 226, 262, 18]]",270,23335845,,
Random,23335845,60,"[[107, 153, 307, 51], [210, 254, 270, 210]]",271,23335845,,
Random,23336010,60,"[[282, 203, 350, 176], [27, 192, 151, 21]]",272,23336010,,
Random,23336085,60,"[[79, 171, 223, 11]]",273,23336085,,
Random,23336295,60,"[[161, 312, 335, 186], [189, 165, 225, 134]]",274,23336295,,
Random,23337015,60,"[[141, 158, 301, 14]]",275,23337015,,
Random,23337345,60,"[[97, 128, 277, 0]]",276,23337345,,
Random,23337405,60,"[[136, 294, 226, 38]]",277,23337405,,
Random,23337540,60,"[[50, 213, 210, 69]]",278,23337540,,
Random,23337750,60,"[[164, 98, 209, 0], [130, 316, 220, 109]]",279,23337750,,
Random,23338410,60,"[[143, 277, 323, 149]]",280,23338410,,
Random,23338680,60,"[[86, 310, 259, 201], [78, 189, 167, 142]]",281,23338680,,
Random,23339025,60,"[[193, 207, 321, 27]]",282,23339025,,
Random,23339265,60,"[[162, 67, 194, 37], [108, 293, 292, 173]]",283,23339265,,
Random,23339475,60,"[[289, 182, 332, 104], [245, 84, 288, 12], [25, 132, 235, 53]]",284,23339475,,
Random,23339565,60,"[[21, 249, 181, 105]]",285,23339565,,
Random,23339940,60,"[[49, 191, 241, 71]]",286,23339940,,
Random,23340465,60,"[[230, 76, 299, 20], [230, 284, 324, 80]]",287,23340465,,
Random,23340480,60,"[[266, 176, 326, 36], [123, 212, 138, 159], [5, 132, 200, 61]]",288,23340480,,
Random,23340810,60,"[[12, 260, 172, 116]]",289,23340810,,
Random,23340915,60,"[[67, 302, 355, 222]]",290,23340915,,
Random,23342130,60,"[[169, 210, 229, 8], [244, 185, 335, 65]]",291,23342130,,
